,0
128,"{9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI))} (conf: 0.625, supp: 0.013, lift: 30.337, conv: 2.615)"
129,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.612, supp: 0.013, lift: 30.337, conv: 2.528)"
130,"{1404 (Manifold Annular Regulator Pilot Pressure), 1406 (Manifold Regulator Readback Pressure), 1408 (Pod Pressure)} -> {1402 (5000 PSI Supply Readback Pressure)} (conf: 0.603, supp: 0.002, lift: 29.270, conv: 2.470)"
131,"{2906 (Manifold Regulator Readback Pressure), 2908 (Pod Pressure)} -> {2917 (Pod Supply Pressure)} (conf: 0.825, supp: 0.004, lift: 28.711, conv: 5.563)"
132,"{2902 (5000 PSI Supply Readback Pressure), 2908 (Pod Pressure)} -> {2917 (Pod Supply Pressure)} (conf: 0.806, supp: 0.002, lift: 28.021, conv: 4.995)"
133,"{9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI))} (conf: 0.566, supp: 0.002, lift: 27.456, conv: 2.257)"
134,"{9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI))} (conf: 0.545, supp: 0.002, lift: 26.457, conv: 2.155)"
135,"{5201 (HPU - Accumulator Pressure (PT1)), 5300 (HPU - Surface Hydraulic Flow Meter (Total 1))} -> {5202 (HPU - Manifold Pressure (PT2))} (conf: 0.525, supp: 0.004, lift: 23.906, conv: 2.060)"
136,"{2904 (Manifold Annular Regulator Pilot Pressure), 2908 (Pod Pressure)} -> {2917 (Pod Supply Pressure)} (conf: 0.678, supp: 0.003, lift: 23.582, conv: 3.016)"
137,"{2908 (Pod Pressure), 2922 (60VDC Voltage Readout)} -> {2917 (Pod Supply Pressure)} (conf: 0.548, supp: 0.003, lift: 19.060, conv: 2.149)"
138,"{2908 (Pod Pressure)} -> {2917 (Pod Supply Pressure)} (conf: 0.538, supp: 0.008, lift: 18.705, conv: 2.101)"
139,"{2922 (60VDC Voltage Readout), 9217 (Subsea Differential Bearing)} -> {9215 (Calc Flexjoint Differential Bearing)} (conf: 0.698, supp: 0.002, lift: 17.249, conv: 3.174)"
140,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.750, supp: 0.002, lift: 16.479, conv: 3.818)"
141,"{9217 (Subsea Differential Bearing), 9227 (LMRP HPHT Pressure - Raw (PSI))} -> {9215 (Calc Flexjoint Differential Bearing)} (conf: 0.621, supp: 0.004, lift: 15.345, conv: 2.530)"
142,"{9424 (Stack HPHT Pressure - Raw (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9474 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.940, supp: 0.009, lift: 14.996, conv: 15.700)"
143,"{9424 (Stack HPHT Pressure - Raw (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9474 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.933, supp: 0.010, lift: 14.877, conv: 13.966)"
144,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 1.000, supp: 0.002, lift: 14.803, conv: 932444000.571)"
145,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 1.000, supp: 0.002, lift: 14.466, conv: 930874589.813)"
146,"{9427 (LMRP HPHT Pressure - Raw (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9424 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.920, supp: 0.009, lift: 14.453, conv: 11.662)"
147,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.968, supp: 0.002, lift: 14.325, conv: 28.906)"
148,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.968, supp: 0.002, lift: 14.325, conv: 28.906)"
149,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.947, supp: 0.013, lift: 14.011, conv: 17.437)"
150,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.968, supp: 0.002, lift: 14.000, conv: 28.857)"
151,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.968, supp: 0.002, lift: 14.000, conv: 28.857)"
152,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.962, supp: 0.013, lift: 13.916, conv: 24.469)"
153,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.939, supp: 0.002, lift: 13.905, conv: 15.385)"
154,"{9427 (LMRP HPHT Pressure - Raw (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9424 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.871, supp: 0.009, lift: 13.684, conv: 7.245)"
155,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.917, supp: 0.013, lift: 13.581, conv: 11.299)"
156,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.938, supp: 0.002, lift: 13.562, conv: 14.894)"
157,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.906, supp: 0.002, lift: 13.415, conv: 9.946)"
158,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.925, supp: 0.013, lift: 13.376, conv: 12.350)"
159,"{9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.902, supp: 0.003, lift: 13.358, conv: 9.558)"
160,"{9277 (LMRP HPHT Pressure - Corrected (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.895, supp: 0.002, lift: 13.244, conv: 8.858)"
161,"{1402 (5000 PSI Supply Readback Pressure), 1404 (Manifold Annular Regulator Pilot Pressure), 1406 (Manifold Regulator Readback Pressure)} -> {1408 (Pod Pressure), 1417 (Pod Supply Pressure)} (conf: 0.895, supp: 0.002, lift: 13.189, conv: 8.856)"
162,"{9217 (Subsea Differential Bearing)} -> {9215 (Calc Flexjoint Differential Bearing)} (conf: 0.533, supp: 0.012, lift: 13.169, conv: 2.053)"
163,"{9215 (Calc Flexjoint Differential Bearing), 9274 (Stack HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.909, supp: 0.004, lift: 13.151, conv: 10.240)"
164,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.882, supp: 0.002, lift: 12.765, conv: 7.912)"
165,"{9207 (Calc Stack Differential Bearing), 9274 (Stack HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.833, supp: 0.002, lift: 12.055, conv: 5.585)"
166,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.795, supp: 0.002, lift: 11.766, conv: 4.546)"
167,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.795, supp: 0.002, lift: 11.499, conv: 4.538)"
168,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9474 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.721, supp: 0.002, lift: 11.497, conv: 3.359)"
169,"{9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9474 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.708, supp: 0.002, lift: 11.296, conv: 3.214)"
170,"{1402 (5000 PSI Supply Readback Pressure), 1405 (Riser Connector Primary Lock Readback Pressure)} -> {1406 (Manifold Regulator Readback Pressure)} (conf: 0.769, supp: 0.002, lift: 11.279, conv: 4.038)"
171,"{9424 (Stack HPHT Pressure - Raw (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9477 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.984, supp: 0.009, lift: 11.210, conv: 58.380)"
172,"{9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.753, supp: 0.004, lift: 11.153, conv: 3.782)"
173,"{1408 (Pod Pressure), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9424 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.707, supp: 0.002, lift: 11.116, conv: 3.199)"
174,"{9277 (LMRP HPHT Pressure - Corrected (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.750, supp: 0.004, lift: 11.102, conv: 3.730)"
175,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.750, supp: 0.002, lift: 11.102, conv: 3.730)"
176,"{9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.744, supp: 0.002, lift: 11.007, conv: 3.637)"
177,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 1.000, supp: 0.002, lift: 10.977, conv: 908902839.207)"
178,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 1.000, supp: 0.002, lift: 10.977, conv: 908902839.207)"
179,"{9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9424 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.698, supp: 0.003, lift: 10.971, conv: 3.102)"
180,"{1422 (60VDC Voltage Readout), 9274 (Stack HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.758, supp: 0.005, lift: 10.969, conv: 3.850)"
181,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9474 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.682, supp: 0.002, lift: 10.873, conv: 2.946)"
182,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.750, supp: 0.002, lift: 10.850, conv: 3.723)"
183,"{1405 (Riser Connector Primary Lock Readback Pressure), 1408 (Pod Pressure), 1417 (Pod Supply Pressure)} -> {1406 (Manifold Regulator Readback Pressure)} (conf: 0.738, supp: 0.003, lift: 10.828, conv: 3.563)"
184,"{9274 (Stack HPHT Pressure - Corrected (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9474 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.676, supp: 0.003, lift: 10.788, conv: 2.897)"
185,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9474 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.672, supp: 0.003, lift: 10.711, conv: 2.854)"
186,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.969, supp: 0.002, lift: 10.634, conv: 29.085)"
187,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.968, supp: 0.002, lift: 10.623, conv: 28.176)"
188,"{9427 (LMRP HPHT Pressure - Raw (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9477 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.932, supp: 0.010, lift: 10.613, conv: 13.409)"
189,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.967, supp: 0.002, lift: 10.611, conv: 27.267)"
190,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI))} -> {9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.962, supp: 0.013, lift: 10.560, conv: 23.891)"
191,"{2904 (Manifold Annular Regulator Pilot Pressure), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9474 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.659, supp: 0.002, lift: 10.511, conv: 2.749)"
192,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9424 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.667, supp: 0.002, lift: 10.477, conv: 2.809)"
193,"{1402 (5000 PSI Supply Readback Pressure), 1404 (Manifold Annular Regulator Pilot Pressure), 1408 (Pod Pressure), 1417 (Pod Supply Pressure)} -> {1406 (Manifold Regulator Readback Pressure)} (conf: 0.708, supp: 0.002, lift: 10.386, conv: 3.195)"
194,"{1405 (Riser Connector Primary Lock Readback Pressure), 1408 (Pod Pressure)} -> {1406 (Manifold Regulator Readback Pressure)} (conf: 0.700, supp: 0.003, lift: 10.264, conv: 3.106)"
195,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.690, supp: 0.002, lift: 10.221, conv: 3.013)"
196,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI))} -> {9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.925, supp: 0.013, lift: 10.150, conv: 12.058)"
197,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.701, supp: 0.003, lift: 10.148, conv: 3.118)"
198,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.684, supp: 0.004, lift: 10.128, conv: 2.953)"
199,"{1402 (5000 PSI Supply Readback Pressure), 1404 (Manifold Annular Regulator Pilot Pressure), 1408 (Pod Pressure)} -> {1406 (Manifold Regulator Readback Pressure)} (conf: 0.686, supp: 0.002, lift: 10.063, conv: 2.970)"
200,"{1408 (Pod Pressure), 9274 (Stack HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.694, supp: 0.002, lift: 10.038, conv: 3.041)"
201,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.690, supp: 0.002, lift: 9.989, conv: 3.007)"
202,"{9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9424 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.635, supp: 0.040, lift: 9.976, conv: 2.564)"
203,"{9424 (Stack HPHT Pressure - Raw (PSI))} -> {9474 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.626, supp: 0.040, lift: 9.976, conv: 2.503)"
204,"{9274 (Stack HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.689, supp: 0.002, lift: 9.966, conv: 2.992)"
205,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9227 (LMRP HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI))} (conf: 0.638, supp: 0.002, lift: 9.953, conv: 2.587)"
206,"{9424 (Stack HPHT Pressure - Raw (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9427 (LMRP HPHT Pressure - Raw (PSI))} (conf: 0.906, supp: 0.009, lift: 9.927, conv: 9.716)"
207,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.667, supp: 0.002, lift: 9.868, conv: 2.797)"
208,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.667, supp: 0.002, lift: 9.868, conv: 2.797)"
209,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9227 (LMRP HPHT Pressure - Raw (PSI))} (conf: 1.000, supp: 0.002, lift: 9.851, conv: 898487658.724)"
210,"{9424 (Stack HPHT Pressure - Raw (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9427 (LMRP HPHT Pressure - Raw (PSI))} (conf: 0.899, supp: 0.010, lift: 9.849, conv: 9.026)"
211,"{9227 (LMRP HPHT Pressure - Raw (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.681, supp: 0.003, lift: 9.845, conv: 2.914)"
212,"{9415 (Calc Flexjoint Differential Bearing), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9427 (LMRP HPHT Pressure - Raw (PSI))} (conf: 0.897, supp: 0.004, lift: 9.819, conv: 8.784)"
213,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.662, supp: 0.003, lift: 9.799, conv: 2.758)"
214,"{1404 (Manifold Annular Regulator Pilot Pressure), 9224 (Stack HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.660, supp: 0.002, lift: 9.763, conv: 2.739)"
215,"{1419 (Wellhead Connector Regulator Readback Pressure), 9274 (Stack HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.674, supp: 0.002, lift: 9.749, conv: 2.855)"
216,"{9274 (Stack HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.674, supp: 0.046, lift: 9.746, conv: 2.853)"
217,"{9224 (Stack HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.658, supp: 0.046, lift: 9.746, conv: 2.730)"
218,"{1422 (60VDC Voltage Readout), 9474 (Stack HPHT Pressure - Corrected (PSI))} -> {9424 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.620, supp: 0.003, lift: 9.739, conv: 2.462)"
219,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.657, supp: 0.003, lift: 9.721, conv: 2.716)"
220,"{9274 (Stack HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9424 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.615, supp: 0.003, lift: 9.671, conv: 2.435)"
221,"{2922 (60VDC Voltage Readout), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9474 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.606, supp: 0.003, lift: 9.665, conv: 2.379)"
222,"{9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.668, supp: 0.013, lift: 9.661, conv: 2.803)"
223,"{2907 (Upper Annular Regulator Pilot Pressure), 9274 (Stack HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.667, supp: 0.002, lift: 9.644, conv: 2.793)"
224,"{2919 (Wellhead Connector Regulator Readback Pressure), 9274 (Stack HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.667, supp: 0.002, lift: 9.644, conv: 2.793)"
225,"{1422 (60VDC Voltage Readout), 9224 (Stack HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.645, supp: 0.005, lift: 9.546, conv: 2.626)"
226,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.644, supp: 0.006, lift: 9.539, conv: 2.622)"
227,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9227 (LMRP HPHT Pressure - Raw (PSI))} (conf: 0.968, supp: 0.002, lift: 9.533, conv: 27.853)"
228,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9277 (LMRP HPHT Pressure - Corrected (PSI)), 9427 (LMRP HPHT Pressure - Raw (PSI))} -> {9227 (LMRP HPHT Pressure - Raw (PSI))} (conf: 0.968, supp: 0.002, lift: 9.533, conv: 27.853)"
229,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9274 (Stack HPHT Pressure - Corrected (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9474 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.598, supp: 0.004, lift: 9.532, conv: 2.330)"
230,"{2904 (Manifold Annular Regulator Pilot Pressure), 9274 (Stack HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.654, supp: 0.002, lift: 9.459, conv: 2.689)"
231,"{9224 (Stack HPHT Pressure - Raw (PSI)), 9227 (LMRP HPHT Pressure - Raw (PSI)), 9424 (Stack HPHT Pressure - Raw (PSI))} -> {9274 (Stack HPHT Pressure - Corrected (PSI))} (conf: 0.638, supp: 0.002, lift: 9.448, conv: 2.578)"
232,"{9274 (Stack HPHT Pressure - Corrected (PSI)), 9474 (Stack HPHT Pressure - Corrected (PSI)), 9477 (LMRP HPHT Pressure - Corrected (PSI))} -> {9224 (Stack HPHT Pressure - Raw (PSI))} (conf: 0.652, supp: 0.002, lift: 9.435, conv: 2.676)"
